ts_cloture,bot,coin,sens,notionnel_usd,maker,r_net,r_prix,r_funding,r_frais,pnl_usd,prix_usd,funding_usd,frais_usd
2026-07-31T11:01:04.341056+00:00,28_carry_hold,CASHCAT,short,94.715,0,-0.06159443,-0.0629,0.00220557,0.0009,-5.833917,-5.957574,0.208901,-0.085243
2026-07-31T20:31:16.017346+00:00,28_carry_hold,XMR,long,94.715,0,0.00082948,0.00085376,0.00087572,0.0009,0.078564,0.080864,0.082944,-0.085243
2026-08-02T10:01:09.550203+00:00,25_convergence_basis,HYPER,long,94.715,0,-0.10448711,-0.10358711,0.0,0.0009,-9.896496,-9.811253,0.0,-0.085243
2026-07-31T16:30:54.660921+00:00,25_convergence_basis,KAITO,long,94.715,0,0.0314083,0.03223907,6.923e-05,0.0009,2.974837,3.053523,0.006557,-0.085243
2026-07-31T20:05:34.552281+00:00,25_convergence_basis,KAITO,long,94.715,0,-0.00892676,-0.00809599,6.923e-05,0.0009,-0.845498,-0.766812,0.006557,-0.085243
2026-07-31T22:01:08.122103+00:00,25_convergence_basis,KAITO,long,94.715,0,-0.00616997,-0.0053392,6.923e-05,0.0009,-0.584388,-0.505702,0.006557,-0.085243
2026-08-01T00:15:34.492164+00:00,25_convergence_basis,KAITO,long,94.715,0,0.00305073,0.00388149,6.923e-05,0.0009,0.288949,0.367636,0.006557,-0.085243
2026-08-01T01:30:56.418822+00:00,25_convergence_basis,KAITO,long,94.715,0,0.00802093,0.0088517,6.923e-05,0.0009,0.759702,0.838389,0.006557,-0.085243
2026-08-01T04:01:06.453494+00:00,25_convergence_basis,KAITO,long,94.715,0,0.00850597,0.00933674,6.923e-05,0.0009,0.805643,0.884329,0.006557,-0.085243
2026-08-01T09:01:06.111382+00:00,25_convergence_basis,KAITO,long,94.715,0,-0.00016677,0.000664,6.923e-05,0.0009,-0.015796,0.062891,0.006557,-0.085243
2026-08-01T12:01:03.192653+00:00,25_convergence_basis,KAITO,long,94.715,0,0.00064732,0.00147808,6.923e-05,0.0009,0.061311,0.139997,0.006557,-0.085243
2026-08-01T13:15:37.642091+00:00,25_convergence_basis,KAITO,short,94.715,0,-0.00447296,-0.0036422,6.923e-05,0.0009,-0.423657,-0.344971,0.006557,-0.085243
2026-08-01T15:15:44.664740+00:00,28_carry_hold,KAITO,long,94.715,0,0.02280105,0.02345816,0.0002429,0.0009,2.159602,2.221839,0.023006,-0.085243
2026-08-01T17:01:10.557742+00:00,25_convergence_basis,KAITO,long,94.715,0,-0.00038799,0.00044278,6.923e-05,0.0009,-0.036749,0.041938,0.006557,-0.085243
2026-08-01T17:45:43.401418+00:00,25_convergence_basis,KAITO,long,94.715,0,0.01950882,0.02033959,6.923e-05,0.0009,1.847778,1.926464,0.006557,-0.085243
2026-08-01T19:46:58.052955+00:00,25_convergence_basis,KAITO,long,94.715,0,-0.02214403,-0.02131326,6.923e-05,0.0009,-2.097372,-2.018686,0.006557,-0.085243
2026-08-01T21:01:03.140290+00:00,25_convergence_basis,KAITO,long,94.715,0,-0.02015043,-0.01931966,6.923e-05,0.0009,-1.908548,-1.829862,0.006557,-0.085243
2026-08-02T00:01:04.028732+00:00,25_convergence_basis,KAITO,long,94.715,0,0.01476804,0.01559881,6.923e-05,0.0009,1.398755,1.477441,0.006557,-0.085243
2026-08-02T13:45:37.711318+00:00,25_convergence_basis,KAITO,short,94.715,0,-0.00125165,-0.00042088,6.923e-05,0.0009,-0.11855,-0.039863,0.006557,-0.085243
2026-08-02T16:01:04.472994+00:00,25_convergence_basis,KAITO,short,94.715,0,-0.03866143,-0.03783066,6.923e-05,0.0009,-3.661817,-3.583131,0.006557,-0.085243
2026-08-02T17:01:05.472215+00:00,25_convergence_basis,KAITO,short,94.715,0,-0.01675928,-0.01592851,6.923e-05,0.0009,-1.587355,-1.508669,0.006557,-0.085243
2026-08-02T18:31:01.792124+00:00,25_convergence_basis,HYPER,long,94.715,0,-0.01354269,-0.02625084,0.01360815,0.0009,-1.282695,-2.486348,1.288896,-0.085243
2026-08-02T19:00:59.505353+00:00,25_convergence_basis,KAITO,short,94.715,0,0.03251957,0.03335034,6.923e-05,0.0009,3.080091,3.158777,0.006557,-0.085243
2026-08-02T20:01:00.779838+00:00,25_convergence_basis,NIL,long,94.715,0,0.00478613,0.0042568,0.00142933,0.0009,0.453318,0.403182,0.135379,-0.085243
2026-08-02T20:45:42.821778+00:00,29_carry_neutre,CASHCAT,short,157.8583,0,0.03489996,0.03003118,0.00576878,0.0009,5.50925,4.740672,0.910651,-0.142072
2026-08-02T20:45:42.821789+00:00,29_carry_neutre,XMR,short,157.8583,0,-0.02436751,-0.02098529,-0.00248222,0.0009,-3.846615,-3.312704,-0.391839,-0.142072
2026-08-02T20:45:42.821795+00:00,29_carry_neutre,ZRO,short,157.8583,0,0.14645714,0.14672967,0.00062748,0.0009,23.11948,23.162501,0.099052,-0.142072
2026-08-02T20:45:42.821801+00:00,29_carry_neutre,MON,long,157.8583,0,0.00405583,0.00637018,-0.00141435,0.0009,0.640247,1.005586,-0.223267,-0.142072
2026-08-02T20:45:42.821807+00:00,29_carry_neutre,KAITO,long,157.8583,0,-0.12527486,-0.12493973,0.00056488,0.0009,-19.77568,-19.722778,0.08917,-0.142072
2026-08-02T20:45:42.821812+00:00,29_carry_neutre,ACE,long,157.8583,0,-0.19455757,-0.20914877,0.01549121,0.0009,-30.712533,-33.015876,2.445416,-0.142072
